Title,Language,Release_Date,Genres,Runtime,Director,Lead_Actors,IMDb_Rating,BMS_Rating,Avg_Rating
Gulal.com,Kannada,05/11/21,"Friendship, Youth",111,Shivu Jamkhandi,"Tabla Nani, Divakar, Nethra Gagan",8.5,8.6,8.55
Kushka,Kannada,26/02/21,"Crime, Comedy, Drama",122,Vikram Yoganand,"Guruprasad, Kailash Pal, Sanjana Anand",8.5,8,8.25
Padaka,Kannada,26/01/21,"Family, Drama",120,R. Aditya Chiranjeevi,"Suresh Vishwanath, Aman Vijay, Sachin",8.4,8.9,8.65
Osho,Kannada,10/09/21,"Action, Drama",88,Ziaullah Khan,"Anand Itagi, Deepa Gowda",8.4,8.9,8.65
Ratnan Prapancha,Kannada,22/10/21,"Comedy, Drama",147,Rohit Padaki,"Dhananjay, Reba Monica John, Umashri",8.3,8.1,8.2
Neeli Hakki,Kannada,27/11/21,Drama,109,Ganesh Hegde,,8.3,8.2,8.25
Garuda‚Gamana‚Vrishabha‚Vahana,Kannada,19/11/21,"Action, Drama, Crime",151,Raj‚B.‚Shetty,"Raj‚B.‚Shetty, Rishab‚Shetty",8.2,8.6,8.4
Rhymes,Kannada,10/12/21,"Thriller, Crime",121,Ajith Kumar J.,"Shubha Poonja, Ajith Jayaraj",8.2,7.7,7.95
Soham,Kannada,21/12/21,"Romance, Drama",114,Harish Kumar,"Harish Kumar, Sushupti Dreams, Manjunatha Somashekar",8.2,7.7,7.95
Laddu,Kannada,22/01/21,"Comedy, Romance",127,R.‚Ramanand,"Sameer Nagarad, Rockline Sudhakar, Bindushree (YouTube, BookMyShow)",8,8.3,8.15
Premam‚Poojyam,Kannada,12/11/21,Romantic Drama,173,Dr‚Raghavendra B‚S,"Prem Kumar, Brinda Acharya, Aindrita Ray",7.9,8,7.95
Kapo‚Kalpitham,Kannada,26/11/21,"Crime, Thriller",101,Sumithra‚Ramesh‚Gowda,"Preetham Makkihaali, Sumithra Gowda",7.9,8.3,8.1
Puksatte‚Lifu‚Pursotte‚Illa,Kannada,,Drama,118,Aravind Sastry,"Sanchitha Shetty, Raghu Pandeshwar",7.7,7.6,7.65
Buy 1 Get 1 Free,Kannada,,"Comedy, Romance",135,Likith Shetty,"Rishita Malnad, Bala Rajwadi, Manu Milan, Kishore G",7.7,7.8,7.75
Kannadiga,Kannada,,Biographical Drama,135,S.‚Narayan,"Basavanna, Rev Kittel‚Äôs portrayal",7.7,7.3,7.5
Kanasu‚Maratakkide,Kannada,,Drama,132,,"Suchethan Swaroop Vaidyanath, Shri Manjunatha Murthy",7.7,7.3,7.5
Talaq Talaq Talaq,Kannada,22/01/21,Social Drama,112,Milaan Dhanu,"Suchethan Swaroop Vaidyanath, RJ Nethra, Shamanth Vaidya",7.6,7.3,7.45
Mugil Pete,Kannada,,Romantic Drama,130,,,7.5,7,7.25
Drishya 2,Kannada,12/11/21,"Crime, Thriller",115,P.‚Vasu,"Anant Nag, Prabhu, Aarohi Narayan, Unnathi V. Shetty",7.5,7,7.25
Koli Taal,Kannada,05/08/21,"Drama, Comedy",92,Abhilash Shetty,"Radha Ramachandra, Prabhakar Kunder",7.4,7.6,7.5
Badava Rascal,Kannada,24/12/21,"Action, Comedy",133,Shankar Guru,"Dhananjay, Amrutha Iyengar",7.3,7.1,7.2
Sakath,Kannada,26/11/21,"Comedy, Court Drama",145,Simple Suni,"Ganesh, Nishvika Naidu, Surbhi",7.3,6.9,7.1
Raktha Gulabi,Kannada,05/03/21,"Crime, Drama, Romance",132,Rabi Machinekad,"Vikramadithya, Shivani, Maanikya GN",7.3,6.9,7.1
Pedro,Kannada,,"Drama, Mystery",108,Natesh Hegde,"Gopal Hegde, Ramakrishna Bhat Dundi",7.2,7.2,7.2
Hitler,Kannada,12/11/21,"Action, Thriller",108,,"Bala Rajwadi, Lohith",7.2,6.8,7
Thirgusomeese,Kannada,,"Drama, Thriller",103,Krishna Vijay,"Sree Vishnu, Nikki Tamboli",7,6.7,6.85
Ikkat,Kannada,21/07/21,"Comedy, Drama",125,Esham & Haseen Khan,"Nagabhushana, Bhoomi Shetty",6.9,7,6.95
Huttu Habbada Shubhashayagalu,Kannada,31/12/21,Crime-Thriller,135,Nagaraj Bethur,"Diganth Manchale, Kavitha Gowda",6.9,6.6,6.75
Krishna Talkies,Kannada,16/04/21,"Horror, Thriller",146,Vijay Anand,"Ajay Rao, Sindhu Lokanath, Apoorva, Chikkanna",6.8,7,6.9
Tom and Jerry,Kannada,12/11/21,Romantic Comedy,153,Raaghav Vinay Shivagange,"Nischith Korodi, Chaitra Rao",6.7,6.5,6.6
Amruth Apartments,Kannada,10/12/21,"Drama, Thriller",133,Bharath Krishnamurthy,"Sai Prakash, Hemanth Kumar",6.7,6.5,6.6
Seetharaam Benoy Case‚Ä¶ Eighteen,Kannada,15/08/21,"Crime, Thriller",125,Bharath Puttanna Kanagal,"Vijay Raghavendra, Benoy",6.6,6.3,6.45
Govinda Govinda,Kannada,26/11/21,"Crime, Comedy",139,Krishna Ramesh,"Dhanya Ramkumar, Suraj Gowda",6.6,6.5,6.55
Ninna Sanihake,Kannada,08/10/21,"Romance, Comedy",155,Hemanth Rao,"Vijay Raghavendra, Amrutha Iyengar",6.6,7.1,6.85
1980,Kannada,05/11/21,"Mystery, Thriller",110,Lingaraj MK,Priyanka Upendra,6.6,6.7,6.65
Jai Bhajrangi,Kannada,26/03/21,"Action, Fantasy",156,Vijay Kumar S,"Ugrram Manju, Ganavi Laxman, Bharath Raj",6.5,6.6,6.55
Hero,Kannada,05/03/21,Drama,125,M. Bharath Raj,"Rishab Shetty, Pramod Shetty, Pratheek Shetty",6.4,6.9,6.65
Yuvarathnaa,Kannada,01/04/21,"Action, Drama",161,Santhosh Ananddram,"Puneeth Rajkumar, Sayyeshaa, Dhananjay, Prakash Raj",6.3,6.5,6.4
Love You Rachchu,Kannada,31/12/21,"Romance, Thriller",138,VD Rajendra,"Ajay Rao, Rachita Ram",6.3,6.5,6.4
,,,,,,,,,
Vikram,Tamil,03/06/22,"Action, Thriller, Crime",175,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil",8.3,8.7,8.5
Love Today,Tamil,04/11/22,"Comedy, Drama, Romance",154,Pradeep Ranganathan,"Pradeep Ranganathan, Ivana",8,8.6,8.3
Thiruchitrambalam,Tamil,18/08/22,"Drama, Family, Romance",131,Mithran R. Jawahar,"Dhanush, Nithya Menen, Raashii Khanna, Prakash Raj",7.9,8.3,8.1
Diary,Tamil,26/08/22,"Thriller, Mystery, Crime",133,Innasi Pandiyan,"Arulnithi, Pavithra Marimuthu",7.2,7.7,7.45
Ponniyin Selvan: Part I,Tamil,30/09/22,"Action, Drama, History",167,Mani Ratnam,"Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi",7.5,7.6,7.55
Mahaan,Tamil,10/02/22,"Action, Drama, Crime",163,Karthik Subbaraj,"Vikram, Dhruv Vikram",7.7,8.3,8
Mudhal Nee Mudivum Nee,Tamil,21/01/22,"Drama, Musical, Romance",148,Darbuka Siva,"Kishen Das, Meetha Raghunath, Harish Kumar",7.9,8.5,8.2
Hey Sinamika,Tamil,03/03/22,"Drama, Romance",150,Brinda,"Dulquer Salmaan, Aditi Rao Hydari, Kajal Aggarwal",6.3,5.8,6.05
Gargi,Tamil,15/07/22,"Drama, Thriller",140,Gautham Ramachandran,"Sai Pallavi, Kaali Venkat, R.S. Shivaji",8.1,7.7,7.9
Beast,Tamil,13/04/22,"Action, Comedy, Thriller",155,Nelson Dilipkumar,"Vijay, Pooja Hegde, Selvaraghavan, Shine Tom Chacko",5.2,5.2,5.2
Sardar,Tamil,21/10/22,"Action, Drama, Thriller",166,P. S. Mithran,"Karthi, Raashi Khanna, Chunky Pandey",7.5,8.1,7.8
Kaatteri,Tamil,05/08/22,"Horror, Comedy",121,Deekay,"Vaibhav, Sonam Bajwa, Karunakaran",4.3,4.4,4.35
Maaran,Tamil,11/03/22,"Action, Thriller",130,Karthick Naren,"Dhanush, Malavika Mohanan",4.4,4,4.2
DSP,Tamil,02/12/22,"Action, Drama",144,Ponram,"Vijay Sethupathi, Anukreethy Vas",3.6,3.8,3.7
Cadaver,Tamil,12/08/22,"Crime, Thriller",123,Anoop Panicker,"Amala Paul, Harish Uthaman, Riythvika",6.5,6.1,6.3
Kaathu Vaakula Rendu Kadhal,Tamil,28/04/22,"Comedy, Drama, Romance",157,Vignesh Shivan,"Vijay Sethupathi, Nayanthara, Samantha",5.5,5.2,5.35
Gatta Kusthi,Tamil,02/12/22,"Action, Comedy, Drama",144,Chella Ayyavu,"Vishnu Vishal, Aishwarya Lekshmi",6.5,6.9,6.7
Etharkkum Thunindhavan,Tamil,10/03/22,"Action, Drama, Thriller",151,Pandiraj,"Suriya, Priyanka Arul Mohan, Sathyaraj",6.4,6.3,6.35
Yugi,Tamil,18/11/22,"Thriller, Drama",131,Zac Harriss,"Kathir, Narain, Anandhi",6.7,6.6,6.65
Don,Tamil,13/05/22,"Comedy, Drama",165,Cibi Chakaravarthi,"Sivakarthikeyan, Priyanka Arul Mohan, Samuthirakani",6.8,6.5,6.65
Pattathu Arasan,Tamil,25/11/22,"Drama, Sports",136,A. Sarkunam,"Atharvaa, Rajkiran, Ashika Ranganath",3.9,3.9,3.9
Valimai,Tamil,24/02/22,"Action, Crime, Thriller",178,H. Vinoth,"Ajith Kumar, Huma Qureshi, Kartikeya",6,5.9,5.95
Vendhu Thanindhathu Kaadu,Tamil,15/09/22,"Action, Drama, Crime",177,Gautham Vasudev Menon,"Silambarasan TR, Siddhi Idnani",7.3,7.4,7.35
Connect,Tamil,22/12/22,"Horror, Thriller",99,Ashwin Saravanan,"Nayanthara, Anupam Kher, Vinay Rai",5.2,5.6,5.4
Sembi,Tamil,30/12/22,"Drama, Thriller",140,Prabhu Solomon,"Kovai Sarala, Ashwin Kumar Lakshmikanthan",7.6,7.2,7.4
Saani Kaayidham,Tamil,06/05/22,"Action, Crime, Drama",136,Arun Matheswaran,"Keerthy Suresh, Selvaraghavan",7.4,7.2,7.3
Vichithiran,Tamil,06/05/22,"Thriller, Drama",121,M. Padmakumar,"R. K. Suresh, Shamna Kasim, Madhu Shalini",6.5,6,6.25
FIR,Tamil,11/02/22,"Action, Thriller",156,Manu Anand,"Vishnu Vishal, Manjima Mohan, Reba Monica John",6.9,6.5,6.7
Deja Vu,Tamil,22/07/22,"Mystery, Thriller",117,Arvindh Srinivasan,"Arulnithi, Madhoo, Smruthi Venkat",6.6,6.8,6.7
Taanakkaran,Tamil,08/04/22,Drama,141,Tamizh,"Vikram Prabhu, Lal, Anjali Nair",8.1,8.5,8.3
Cobra,Tamil,31/08/22,"Action, Thriller, Crime",183,R. Ajay Gnanamuthu,"Vikram, Srinidhi Shetty, Roshan Mathew",6,6.3,6.15
Raangi,Tamil,30/12/22,"Action, Thriller",121,M. Saravanan,"Trisha, Anaswara Rajan, Bekzod Abdumalikov",4.8,5.2,5
Poochandi,Tamil,27/01/22,"Horror, Mystery",115,JK Wicky,"RJ Ramana, Ganesan Manohgaran",7,7.6,7.3
Not Reachable,Tamil,25/02/22,"Thriller, Crime",120,Chandru Muruganandham,"Vishwa, Haritha, Sai Dheena",6.1,5.8,5.95
D Block,Tamil,01/07/22,"Thriller, Mystery",134,Vijay Kumar Rajendran,"Arulnithi, Avantika Mishra",5.5,5.7,5.6
Nenjuku Needhi,Tamil,20/05/22,"Drama, Crime",138,Arunraja Kamaraj,"Udhayanidhi Stalin, Aari Arujunan",7.1,7.6,7.35
Nitham Oru Vaanam,Tamil,04/11/22,"Drama, Romance",146,Ra. Karthik,"Ashok Selvan, Ritu Varma, Aparna Balamurali",7.3,7.3,7.3
Captain,Tamil,08/09/22,"Action, Sci-Fi",120,Shakti Soundar Rajan,"Arya, Aishwarya Lekshmi, Simran",4.4,4.6,4.5
Naane Varuvean,Tamil,29/09/22,"Horror, Thriller",122,Selvaraghavan,"Dhanush, Elli Avrram, Indhuja",6.1,5.9,6
Manmatha Leelai,Tamil,01/04/22,"Drama, Romance, Adult",111,Venkat Prabhu,"Ashok Selvan, Riya Suman, Smruthi Venkat",6,5.9,5.95
Maayon,Tamil,24/06/22,"Adventure, Thriller, Mystery",131,N. Kishore,"Sibi Sathyaraj, Tanya Ravichandran",5.8,6,5.9
Oh My Ghost,Tamil,30/12/22,"Comedy, Horror, Fantasy",125,R. Yuvan,"Sunny Leone, Dharsha Gupta",2.3,2.2,2.25
Laththi,Tamil,22/12/22,"Action, Thriller",143,A. Vinoth Kumar,"Vishal, Sunainaa, Prabhu",6.4,6,6.2
Maalai Nera Malipoo,Tamil,09/12/22,Drama,119,Sanjay Narayanan,"Vinithra Menon, Ashwin, Vijayalakshmi Narayanan",7.9,7.6,7.75
Varalaru Mukkiyam,Tamil,09/12/22,"Comedy, Romance",150,Santhosh Rajan,"Jiiva, Kashmira Pardeshi, Pragya Nagra",4.2,3.7,3.95
Anbarivu,Tamil,07/01/22,"Action, Drama",165,Aswin Raam,"Hiphop Tamizha Adhi, Kashmira Pardeshi, Napoleon, Sai Kumar",7.2,6.8,7
Koogle Kuttappa,Tamil,06/05/22,"Comedy, Sci-Fi, Drama",127,Sabari‚ÄìSaravanan,"K.S. Ravikumar, Losliya, Tharshan, Yogi Babu",6.2,6.1,6.15
Sila Nerangalil Sila Manidhargal,Tamil,28/01/22,"Drama, Anthology",139,Vishal Venkat,"Ashok Selvan, Bhanupriya, Riythvika, Nassar",8,7.9,7.95
Kalaga Thalaivan,Tamil,18/11/22,"Action, Thriller",141,Magizh Thirumeni,"Udhayanidhi Stalin, Nidhhi Agerwal",6.7,6.3,6.5
Viruman,Tamil,12/08/22,"Action, Drama, Family",149,M. Muthaiah,"Karthi, Aditi Shankar, Prakash Raj",4.9,4.5,4.7
My Dear Bootham,Tamil,15/07/22,"Fantasy, Drama, Family",122,N. Ragavan,"Prabhudeva, Ashwanth Ashokkumar",5.9,5.7,5.8
Maha,Tamil,22/07/22,"Crime, Thriller",171,U.R. Jameel,"Hansika Motwani, Silambarasan TR",3,2.4,2.7
The Legend,Tamil,28/07/22,"Action, Drama, Sci-Fi",161,J.D.‚ÄìJerry,"Legend Saravanan, Urvashi Rautela, Vivek",4.7,4.3,4.5
Enjoy,Tamil,23/12/22,"Comedy, Drama, Romance",140,Perumal Kasi,"Madan Kumar, Vignesh, Harish Kumar, Niranjana",6.3,6.7,6.5
Coffee with Kadhal,Tamil,04/11/22,"Comedy, Family, Romance",144,Sundar C,"Jiiva, Amritha Aiyer, Yogi Babu, Arya",4.7,4.7,4.7
Veerame Vaagai Soodum,Tamil,04/02/22,"Action, Drama, Thriller",166,Thu Pa Saravanan,"Vishal, Dimple Hayathi",6.3,6,6.15
Gulu Gulu,Tamil,29/07/22,"Action, Comedy, Drama",148,Rathna Kumar,"Santhanam, Athulya Chandra, Pradeep Rawat",5.8,6.2,6
Miral,Tamil,11/11/22,"Horror, Thriller",115,M. Sakthivel,"Bharath, Vani Bhojan",5.7,6,5.85
Kuruthi Aattam,Tamil,05/08/22,"Action, Drama, Thriller",147,Sri Ganesh,"Atharvaa Murali, Priya Bhavani Shankar",4.2,3.9,4.05
Iravin Nizhal,Tamil,15/07/22,"Drama, Experimental, Thriller",122,R. Parthiban,"R. Parthiban, Varalaxmi Sarathkumar, Robo Shankar",6.5,6,6.25
Selfie,Tamil,01/04/22,"Action, Drama, Thriller",128,Mathi Maran,"G.V. Prakash Kumar, Gautham Vasudev Menon, Varsha Bollamma",6,5.5,5.75
Trigger,Tamil,23/09/22,"Action, Thriller",137,Sam Anton,"Atharvaa, Tanya Ravichandran",5.9,5.7,5.8
Sinam,Tamil,16/09/22,"Action, Crime, Thriller",115,G. N. R. Kumaravelan,"Arun Vijay, Palak Lalwani, Kaali Venkat",5.2,5.2,5.2
Oh My Dog,Tamil,21/04/22,"Family, Drama",121,Sarov Shanmugam,"Arun Vijay, Arnav Vijay, Mahima Nambiar",6.4,6.4,6.4
Kurangu Pedal,Tamil,13/05/22,Drama,119,Kamalakannan,"Santhosh Velmurugan, Prasanna Balachander",7.6,7.7,7.65
Battery,Tamil,29/07/22,"Thriller, Drama",122,Mani Bharathi,"Senguttuvan, Ammu Abhirami",4.6,4.3,4.45
Natchathiram Nagargirathu,Tamil,31/08/22,"Drama, Romance, Musical",170,Pa. Ranjith,"Dushara Vijayan, Kalidas Jayaram, Kalaiyarasan",6.8,6.8,6.8
Veetla Vishesham,Tamil,17/06/22,"Comedy, Drama, Family",130,"RJ Balaji, N.J. Saravanan","RJ Balaji, Sathyaraj, Urvashi, Aparna Balamurali",6.9,6.7,6.8
Hello June,Tamil,17/06/22,"Drama, Romance",139,Ahammed Khabeer,"Rajisha Vijayan, Sarjano Khalid, Joju George",6.7,6.4,6.55
College Road,Tamil,30/12/22,"Thriller, Drama",124,Jai Amar Singh,"Lingesh, Monica Chinnakotla, Ananth Nag",8.3,7.7,8
,,,,,,,,,
Hridayam,Malayalam,21/01/22,"Drama, Romance, Coming-of-age",172,Vineeth Sreenivasan,"Pranav Mohanlal, Kalyani Priyadarshan, Darshana Rajendran",8.1,8.2,8.15
Jana Gana Mana,Malayalam,28/04/22,"Drama, Thriller, Legal",162,Dijo Jose Antony,"Prithviraj Sukumaran, Suraj Venjaramoodu",8.3,8.4,8.35
Mukundan Unni Associates,Malayalam,11/11/22,"Crime, Comedy, Thriller",128,Abhinav Sunder Nayak,"Vineeth Sreenivasan, Suraj Venjaramoodu",7.9,7.6,7.75
Ela Veezha Poonchira,Malayalam,15/07/22,"Crime, Drama, Mystery",104,Shahi Kabir,"Soubin Shahir, Sudhi Koppa, Jude Anthany Joseph",7.3,7.3,7.3
Kooman,Malayalam,04/11/22,"Thriller, Crime",153,Jeethu Joseph,"Asif Ali, Hannah Reji Koshy",7.3,6.7,7
Bheeshma Parvam,Malayalam,03/03/22,"Action, Crime, Drama",144,Amal Neerad,"Mammootty, Soubin Shahir, Shine Tom Chacko",7.6,8.1,7.85
Salute,Malayalam,17/03/22,"Crime, Drama, Thriller",145,Rosshan Andrrews,"Dulquer Salmaan, Diana Penty",7,6.9,6.95
John Luther,Malayalam,27/05/22,"Thriller, Crime",135,Abhijith Joseph,"Jayasurya, Siddique, Deepak Parambol",6.8,7.2,7
Udal,Malayalam,20/05/22,"Drama, Thriller",122,Ratheesh Raghunandan,"Indrans, Dhyan Sreenivasan, Durga Krishna",6.3,6.2,6.25
Thallumaala,Malayalam,12/08/22,"Action, Comedy, Drama",148,Khalid Rahman,"Tovino Thomas, Kalyani Priyadarshan, Shine Tom Chacko",7,6.5,6.75
The Teacher,Malayalam,02/12/22,"Drama, Thriller",121,Vivek,"Amala Paul, Hakkim Shah, Chemban Vinod Jose",6.3,6.3,6.3
Bhoothakaalam,Malayalam,21/01/22,"Horror, Drama, Mystery",105,Rahul Sadasivan,"Revathi, Shane Nigam, Saiju Kurup",7.4,7.4,7.4
Jaya Jaya Jaya Jaya Hey,Malayalam,28/10/22,"Comedy, Drama, Family",145,Vipin Das,"Darshana Rajendran, Basil Joseph, Azees Nedumangad",7.7,7.6,7.65
Chathuram,Malayalam,04/11/22,"Drama, Romance, Thriller",120,Sidharth Bharathan,"Roshan Mathew, Swasika Vijay, Santhy Balachandran",6.1,6.1,6.1
12th Man,Malayalam,20/05/22,"Mystery, Thriller",163,Jeethu Joseph,"Mohanlal, Unni Mukundan, Anusree",6.8,7.4,7.1
Aaraattu,Malayalam,18/02/22,"Action, Comedy, Drama",167,B. Unnikrishnan,"Mohanlal, Shraddha Srinath, Ramachandra Raju",3.7,4,3.85
Thattukada Muthal Semitheri Vare,Malayalam,05/02/22,"Drama, Family",95,Subash Varkey,"Mathews Pulickan, Nimmy Raphel",9.1,9.6,9.35
Rorschach,Malayalam,07/10/22,"Action, Mystery, Thriller",150,Nissam Basheer,"Mammootty, Grace Antony, Sharaf U Dheen",6.9,6.9,6.9
Kumari,Malayalam,28/10/22,"Fantasy, Horror, Mythological",137,Nirmal Sahadev,"Aishwarya Lekshmi, Shine Tom Chacko, Surabhi Lakshmi",6.4,6.1,6.25
CBI 5: The Brain,Malayalam,01/05/22,"Crime, Thriller, Mystery",162,K. Madhu,"Mammootty, Mukesh, Soubin Shahir",5.6,5.9,5.75
Paappan,Malayalam,29/07/22,"Crime, Thriller, Drama",169,Joshiy,"Suresh Gopi, Neeta Pillai, Gokul Suresh",6.7,7.1,6.9
Monster,Malayalam,21/10/22,"Action, Drama, Mystery",135,Vysakh,"Mohanlal, Lakshmi Manchu, Sudev Nair",4.4,4.1,4.25
Kuttavum Shikshayum,Malayalam,27/05/22,"Crime, Thriller",138,Rajeev Ravi,"Asif Ali, Alencier Ley Lopez, Sharafudheen",6.3,6.6,6.45
Kaduva,Malayalam,07/07/22,"Action, Drama",155,Shaji Kailas,"Prithviraj Sukumaran, Vivek Oberoi, Samyuktha Menon",6.1,6.2,6.15
Vaashi,Malayalam,17/06/22,"Drama, Legal, Romance",155,Vishnu G. Raghav,"Tovino Thomas, Keerthy Suresh",6.3,5.9,6.1
Makal,Malayalam,29/04/22,"Drama, Family",142,Sathyan Anthikad,"Jayaram, Meera Jasmine, Devika Sanjay",5.3,5.5,5.4
Nna Thaan Case Kodu,Malayalam,11/08/22,"Comedy, Drama, Satire",138,Ratheesh Balakrishnan Poduval,"Kunchacko Boban, Gayathrie, Basil Joseph",7.9,8.1,8
Palthu Janwar,Malayalam,02/09/22,"Comedy, Drama, Family",117,Sangeeth P. Rajan,"Basil Joseph, Indrans, Johny Antony",6.7,6.8,6.75
Antakshari,Malayalam,22/04/22,"Thriller, Mystery",121,Vipin Das,"Saiju Kurup, Priyanka Nair, Sudhi Koppa",6.5,6.2,6.35
Twenty One Grams,Malayalam,18/03/22,"Crime, Thriller",133,Bibin Krishna,"Anoop Menon, Renji Panicker, Leona Lishoy",6.9,7,6.95
Adrishyam,Malayalam,18/11/22,"Crime, Thriller",123,Zac Harriss,"Joju George, Narain, Sharafudheen",5.6,5.1,5.35
In,Malayalam,04/03/22,"Mystery, Thriller",81,Rajesh Keshav,"Deepti Sati, Vijay Babu, Arya Rohit",5.5,5.6,5.55
Holy Wound,Malayalam,15/08/22,"Drama, LGBTQ+",,Asok R Nath,"Janaki Sudheer, Amrita Vinod",6.6,6.6,6.6
Malayankunju,Malayalam,22/07/22,"Drama, Thriller",114,Sajimon Prabhakar,"Fahadh Faasil, Rajisha Vijayan",6.9,7.1,7
Ini Utharam,Malayalam,07/10/22,"Thriller, Crime, Drama",126,Sudheesh Ramachandran,"Aparna Balamurali, Harish Uthaman, Kalabhavan Shajohn",6.4,6.8,6.6
Bro Daddy,Malayalam,26/01/22,"Comedy, Drama, Family",159,Prithviraj Sukumaran,"Mohanlal, Prithviraj Sukumaran, Meena",7,7.1,7.05
Super Sharanya,Malayalam,07/01/22,"Comedy, Drama, Coming-of-age",161,Girish A D,"Anaswara Rajan, Arjun Ashokan, Mamitha Baiju",6.4,6.2,6.3
Nanpakal Nerathu Mayakkam,Malayalam,23/12/22,"Drama, Fantasy",105,Lijo Jose Pellissery,"Mammootty, Ramya Pandian",7.4,7.3,7.35
Malikappuram,Malayalam,30/12/22,"Adventure, Drama, Family",121,Vishnu Sasi Shankar,"Unni Mukundan, Deva Nandha, Sreepath",7.4,7.7,7.55
Pada,Malayalam,10/03/22,"Political, Drama, History",130,Kamal K.M.,"Kunchacko Boban, Joju George, Vinayakan, Dileesh Pothan",7.8,7.5,7.65
Kaapa,Malayalam,22/12/22,"Action, Crime, Thriller",136,Shaji Kailas,"Prithviraj Sukumaran, Asif Ali, Anna Ben",5.9,5.9,5.9
Pathaam Valavu,Malayalam,13/05/22,"Crime, Drama, Thriller",122,M. Padmakumar,"Indrajith Sukumaran, Suraj Venjaramoodu",6.2,6.2,6.2
Veekam,Malayalam,09/12/22,"Crime, Thriller, Forensic",120,Sagar Hari,"Dhyan Sreenivasan, Dinesh Prabhakar, Sheelu Abraham",3.2,3,3.1
Night Drive,Malayalam,11/03/22,"Crime, Thriller, Drama",118,Vysakh,"Indrajith Sukumaran, Anna Ben, Roshan Mathew",6.7,6.3,6.5
Jo and Jo,Malayalam,13/05/22,"Comedy, Drama, Family",134,Arun D. Jose,"Mathew Thomas, Naslen, Nikhila Vimal",7.1,6.6,6.85
I Am a Father,Malayalam,15/07/22,"Drama, Family",75,Nidheesh N.,"Rahul Madhav, Ranjini Haridas",7,7,7
Pathonpatham Noottandu,Malayalam,08/09/22,"History, Action, Drama",158,Vinayan,"Siju Wilson, Kayadu Lohar, Anoop Menon",6.8,6.9,6.85
Saudi Vellakka,Malayalam,02/12/22,"Drama, Legal, Social",137,Tharun Moorthy,"Lukman Avaran, Binu Pappu, Devi Varma",8,7.4,7.7
Naradan,Malayalam,03/03/22,"Drama, Thriller",150,Aashiq Abu,"Tovino Thomas, Anna Ben, Indrans",6,6.3,6.15
No Way Out,Malayalam,22/07/22,"Drama, Thriller",97,Nirmal Baby Varghese,"Raveena Nair, Basil Joseph, Dharmajan Bolgatty",5.4,5.5,5.45
Puzhu,Malayalam,13/05/22,"Drama, Thriller, Psychological",122,Ratheena PT,"Mammootty, Parvathy Thiruvothu",6.2,6.4,6.3
19 (1) (a),Malayalam,29/07/22,"Drama, Political, Social",108,Indhu V. S.,"Vijay Sethupathi, Nithya Menen",5,4.6,4.8
Gold,Malayalam,01/12/22,"Comedy, Crime, Drama",165,Alphonse Puthren,"Prithviraj Sukumaran, Nayanthara",4.7,4.5,4.6
Appan,Malayalam,28/10/22,"Drama, Family",129,Maju,"Sunny Wayne, Alencier Ley Lopez, Grace Antony",7.5,7.2,7.35
Meppadiyan,Malayalam,14/01/22,"Drama, Thriller",124,Vishnu Mohan,"Unni Mukundan, Saiju Kurup",7.1,6.9,7
Innale Vare,Malayalam,09/06/22,"Thriller, Drama",136,Jis Joy,"Asif Ali, Nimisha Sajayan, Antony Varghese",6.1,6.7,6.4
Prakashan Parakkatte,Malayalam,17/06/22,"Drama, Family, Coming-of-age",133,Shahad Nilambur,"Mathew Thomas, Saiju Kurup, Malavika Manoj",6.1,5.6,5.85
Four,Malayalam,20/05/22,"Drama, Social, Education",118,Sunil Hanif,"Minon, Mamitha Baiju, Gopika Ramesh",6.7,6.3,6.5
Theerppu,Malayalam,25/08/22,"Thriller, Political, Drama",156,Rathish Ambat,"Prithviraj Sukumaran, Isha Talwar, Indrajith Sukumaran",5.5,5.4,5.45
Vamanan,Malayalam,16/12/22,"Thriller, Survival",98,A.B. Binil,"Indrans, Seema G. Nair",3.2,3.1,3.15
Oru Thekkan Thallu Case,Malayalam,08/09/22,"Crime, Drama, Action",152,Sreejith N,"Roshan Mathew, Nimisha Sajayan, Biju Menon",6.4,6.8,6.6
A Violent Tale,Malayalam,29/07/22,"Action, Crime, Thriller",95,Arunlal Mohan,"Arun Siva, Anjana Mohan, Deepak Parambol",8.3,8,8.15
Padma,Malayalam,04/11/22,"Drama, Family, Psychological",122,Anoop Menon,"Anoop Menon, Surabhi Lakshmi",4.9,4.6,4.75
Dear Friend,Malayalam,10/06/22,"Drama, Mystery, Friendship",118,Vineeth Kumar,"Tovino Thomas, Darshana Rajendran, Basil Joseph",5.9,5.9,5.9
Aavasavyuham,Malayalam,04/08/22,"Fantasy, Drama, Satire",115,Krishand,"Rahul Rajagopal, Sreenath Babu, Zhinz Shan",7.8,7.9,7.85
Freedom Fight,Malayalam,11/02/22,"Drama, Anthology, Social",152,Jeo Baby (and others),"Rajisha Vijayan, Joju George, Srinda",7.5,7.8,7.65
Kochaal,Malayalam,10/06/22,"Drama, Crime, Action",147,Shyam Mohan,"Indrans, Murali Gopy, Shine Tom Chacko",6.7,6.3,6.5
